가게,메뉴,가격,카테고리,이미지_URL
강정이네,닭강정 (온 가족),16000,닭강정,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5994f6294f315.jpg

좋은날츄러스,츄러스,3000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/4dbcf2ef0df06.jpg
좋은날츄러스,회오리감자,4000,회오리감자,https://cdn.imweb.me/upload/S2017041358eed92818b4f/bbc8c1bf3abd5.jpg
좋은날츄러스,소떡소떡,3000,소떡소떡,https://cdn.imweb.me/upload/S2017041358eed92818b4f/746057e858fa4.jpg

뽀라츄러스,뽀라롱츄러스,3000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/cff0d6d45a151.jpg
뽀라츄러스,아츄,6000,츄러스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/bf5d8b418383c.jpg
뽀라츄러스,아이스크림,4000,아이스크림,https://cdn.imweb.me/upload/S2017041358eed92818b4f/7a66b88e46560.jpg
뽀라츄러스,소떡소떡,3000,소떡소떡,https://cdn.imweb.me/upload/S2017041358eed92818b4f/4c0837adca7d5.jpg

CAFE MONICA(카페모니카),커피,4500,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b99c8dc5a93b.jpg
CAFE MONICA(카페모니카),에이드,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b99c8dc87e01.jpg
CAFE MONICA(카페모니카),수제꽃과차,5000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b99c8dcda43f.jpg
CAFE MONICA(카페모니카),쥬스,4500,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b99c8dc7c84b.jpg
CAFE MONICA(카페모니카),그릴에 구운 소시지,3500,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b99c8dc989cd.jpg

ssong's coffee(쏭스커피),아메리카노,2500,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b45aadd915.png
ssong's coffee(쏭스커피),카페라떼,3000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b45ab1fd7f.png
ssong's coffee(쏭스커피),복숭아아이스티,3000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b45aacae34.png
ssong's coffee(쏭스커피),자몽에이트,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b45ab0453b.png
ssong's coffee(쏭스커피),레몬에이드,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b45aaaf6e1.png
ssong's coffee(쏭스커피),딸기요거레또,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3b45aa898eb.png

달리는카페,아메리카노,2500,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b2c55c77c773.png
달리는카페,녹차라떼,3500,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b2c55c7c2706.jpg
달리는카페,초코,3000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b2c55c7cdbb3.jpg
달리는카페,레몬에이드,3500,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b2c5622513fc.png
달리는카페,자몽에이드,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b2c56226cf61.png

용인팜랜드,전구에이드,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bce00f52b4f.jpg
용인팜랜드,커피콩빵,3000,빵,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bce01a67755.jpg

피턴하우스(P-turn house),하와이안 블루,5000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/599a3bbe783ec.jpg
피턴하우스(P-turn house),라임 모히또,4500,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/599a3bc4f37bb.jpg
피턴하우스(P-turn house),전구에이드,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/599a3be7b4d45.jpg
피턴하우스(P-turn house),리얼아메리카노,3000,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/599a3bf63b70d.jpg

빵플,허니크림치즈와플,3000,와플,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842be433e41.jpg
빵플,뉴욕핫도그,4000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842be4aa4ca.jpg
빵플,수제소세지,2500,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842be235b35.jpg
빵플,수제비프버거,7000,햄버거,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842be34a549.jpg
빵플,3단샌드위치,3500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842be4a4ec9.jpg
빵플,과일화채,4000,화채,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842bff18ba4.jpg
빵플,아이스크림와플,4000,와플,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842be61274c.jpg
빵플,과일에이드,3500,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842bff9687e.jpg
빵플,더치아메리카노,3000,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59842bfe50189.jpg
빵플,프리미엄 아이스크림,2500,아이스크림,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59843aaae3207.jpg

달콤 크레페,딸기 크레페,3000,크레페,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591d8a800cc93.jpg
달콤 크레페,바나나 크레페,3000,크레페,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591d8b4c9d4c8.jpg
달콤 크레페,딸기 바나나 크레페,4000,크레페,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591d8b62d2006.jpg
달콤 크레페,아이스크림 크레페,4000,크레페,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591d8bad2c1c4.jpg

Shake Day (쉐이크 데이),밀크 쉐이크,3800,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591154ea825dc.png
Shake Day (쉐이크 데이),과일 스무디,4800,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/591154fb600d4.png

커피투어,아메리카노,3000,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/590148b3147d5.jpg
커피투어,카페모카,4000,커피,https://cdn.imweb.me/upload/S2017041358eed92818b4f/590148ba90c0b.jpg
커피투어,아이스초코,4000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/590148c5ba8e0.jpg

BoomBoom Cafe (붐붐카페),복숭아 에이드,3000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58fefcf54d8b1.jpg
BoomBoom Cafe (붐붐카페),레몬 에이드,3000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f983e87d775.jpg
BoomBoom Cafe (붐붐카페),체리 에이드,3000,음료,https://cdn.imweb.me/upload/S2017041358eed92818b4f/58f983d6c5fbf.jpg

원식당,불초밥,12000,초밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/14413c7bbe378.jpg
원식당,스테이크,12000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/57b2052ff644c.jpg

더모니카,스테이크,10000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/d78cc27286764.jpg

(Brother Steak)브라더스테이크,스테이크 (1인분),9000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5be53616e82d4.jpg
(Brother Steak)브라더스테이크,스테이크 (2인분),17000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5be53616e82d4.jpg

HANK(행크),플레인핫도그,4000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5be531c358b0d.jpeg
HANK(행크),칠리지즈핫도그,5500,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5be531c365d4e.jpeg
HANK(행크),더티콘핫도그,5000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5be531c36e5dc.jpeg
HANK(행크),베이컨핫도그,5000,핫도그,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5be531c37d47d.jpeg

로우코 바비큐 하우스,저크치킨스테이크,10000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5bbabf06e7d20.jpg

웁스스테이크,그릴스테이크,8000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b7b7a371e350.jpg
웁스스테이크,수비드스테이크,9000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b7b7a1f14e8f.jpg

UNCLR JACK (엉클잭),하와이안 치즈스테이크,8000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b728fe6d1414.jpg
UNCLR JACK (엉클잭),갈릭스테이크 덮밥,8000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b728ff08b0b9.jpg
UNCLR JACK (엉클잭),갈릭 스테이크 샐러드,7000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b728ffcbf5b1.jpg

막창클라쓰,막창초벌소금구이,9900,막창,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b7273b91275a.jpg
막창클라쓰,막창초벌양념구이,9900,막창,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b7273b8e7a32.jpg

스시화,"갈릭치즈셋트 (갈릭치즈 소스) (구성- 연어2p, 새우2p, 와규2p, 군함 2p)",9500,초밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b4e8c8fe27bc.jpg
스시화,"매콥셋트 (매콤소스) (구성 - 연어2p, 새우2p, 와규2p, 군함2p)",9500,초밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b4e8c9001d80.jpg
스시화,"모드셋트 (갈릭치즈 + 매콥소스) (구성 - 연어3p, 새우3p, 와규 2p)",10500,초밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b4e8c900e064.jpg
스시화,"와규 셋트 (구성 - 와규 5p)",7000,초밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b4e8c9019362.jpg

(CAPER COOKING) 캠퍼쿠킹,부챗살 스테이크,9000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3de5ed763a1.png
(CAPER COOKING) 캠퍼쿠킹,커리부에스터소시지,6000,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b3de5ed4d531.png

(Veteran)베테랑,소고기 불초밥,8900,초밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b2a02640e9c4.jpg
(Veteran)베테랑,또띠아 스테이크,8000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b2a026355839.jpg

woker(워커),망고크림새우,8000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b16467628a5f.jpg
woker(워커),칠리새우,8000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b164676078c3.jpg
woker(워커),깐풍새우,8000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b16467641c91.jpg

멜츠비 (MELTSBY),치즈퐁듀 스테이크,8900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5ab755f8afb55.jpeg

BONE STEAK (본 스테이크),언블리버블 스테이크,9900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5ab7543f4ec38.jpg
BONE STEAK (본 스테이크),닭꼬치,3500,닭꼬치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b5eae9b0331c.jpg
BONE STEAK (본 스테이크),롱소세지,3500,소시지,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5b5eae9bd222b.jpg

두 남자의 69'STEAK,스테이크 샐러드,6900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a95fba682ce4.jpg
두 남자의 69'STEAK,스테이크 정식,9900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a95fba69b22e.jpg
두 남자의 69'STEAK,스테이크 더블 ,5900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a95fba6ac7e7.jpg

Sol Chef (솔 쉐프),리얼 수비드 스테이크,9000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a7fa1af6e579.png

Capri (카프리),롤스테이크,9000,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a40957e9f2f4.jpg
Capri (카프리),먹물치아바타샌드위치,5500,샌드위치,https://cdn.imweb.me/upload/S2017041358eed92818b4f/5a4095859aab9.jpg

Gold Steak (골드 스테이크),스테이크세트,9900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59fc0ee9bc7c3.jpg
Gold Steak (골드 스테이크),하와이안쉬림프,8000,쉬림프,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59fc0efabf469.jpg

토르토르,토마토 돼지철판구이,8000,돼지고기,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59e6a2938c25d.jpg
토르토르,토마토 돼지덮밥,7000,덮밥,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59e6a29dbf1d9.jpg

부자갈비바비큐,돼지양념갈비,7000,갈비,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59e6a1a81d1be.jpg
부자갈비바비큐,소이동갈비,9900,갈비,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59e6a1b7c2768.jpg
부자갈비바비큐,갈비버거,5000,햄버거,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59e6a1c44ef03.jpg

COOKING PAPA (쿠킹 파파),정통철판불꽃스테이크,9900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59db23700c64e.jpg
COOKING PAPA (쿠킹 파파),스테이크포케,9900,스테이크,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59db181e38130.jpg

KORCAINE,감바스 알 아히요,8000,감바스,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59d9d735e1df4.jpg
KORCAINE,새우 오일 파스타,9000,파스타,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59d9d744a167f.jpg
KORCAINE,새우 바질크림 파스타,9000,파스타,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59d9d75669880.jpg

나이스챕,스테이크타코,6000,타코,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bf3cf164bf9.jpg
나이스챕,칠리치즈프라이즈,5000,감자튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bf3d1b21bb3.jpg
나이스챕,허니갈릭프라이즈,5000,감자튀김,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bf3d25839fa.jpg
나이스챕,나이스세트,9900,타코,https://cdn.imweb.me/upload/S2017041358eed92818b4f/59bf3d2b46681.jpg
